,Unnamed: 0,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines,factor
0,321,16600545,Bossman Coffee,Mount Lawley,"3/669 Beaufort Street, Mount Lawley, Perth",Perth,-31.9337708524,115.8722994849,1,15,4.6,Excellent,297,105,Cafe Food,3.2608695652173916
1,20,16558689,Pasticceria Papa,Haberfield,"145 Ramsay Street, Haberfield, Sydney",Sydney,-33.8809142787,151.1397293954,1,20,4.7,Excellent,516,170,"Coffee and Tea, Italian, Cafe Food",4.25531914893617
2,58,16568870,Lentil As Anything,Newtown,"391 King Street, Newtown, Sydney",Sydney,-33.8997350438,151.1778519675,1,20,4.6,Excellent,195,92,"Vegetarian, Vegan",4.347826086956522
3,66,16560009,The Yeeros Shop,Marrickville,"431 Illawarra Road, Marrickville, Sydney",Sydney,-33.9156975988,151.1506560445,1,20,4.6,Excellent,147,55,Greek,4.347826086956522
4,65,16561142,Out of the Blue,Coogee,"272 Clovelly Road, Clovelly, Sydney",Sydney,-33.912250512,151.2582981213,1,20,4.6,Excellent,173,62,"Burger, Seafood, Fish and Chips",4.347826086956522
5,252,16591575,Just Soy Cafe,Sunnybank Hills,"Pacific Centre, Shop 1, 8 Lear Street, Sunnybank Hills, Brisbane",Brisbane,-27.6101802317,153.0542402342,1,20,4.5,Excellent,237,76,"Desserts, Asian",4.444444444444445
6,240,16594637,John Mills Himself,Brisbane CBD,"40 Charlotte Street, Brisbane CBD, Brisbane",Brisbane,-27.4720120273,153.0262658,1,20,4.5,Excellent,190,62,"Cafe Food, Beverages",4.444444444444445
7,295,16590068,Govinda's Pure Vegetarian,Brisbane CBD,"358 George Street, Brisbane CBD, Brisbane",Brisbane,-27.469530214200002,153.02188809959998,1,20,4.4,Very Good,246,80,"Indian, Healthy Food, Vegetarian, Vegan",4.545454545454545
8,116,16571744,Lentil As Anything,Abbotsford,"1-3 St Heliers Street, Abbotsford, Melbourne",Melbourne,-37.8027048265,145.0035664067,1,25,4.8,Excellent,976,247,"Vegetarian, Vegan",5.208333333333334
9,15,16562756,Mappen Noodle Restaurant,"SkyView Shopping Plaza, CBD","Shop 11, Skyview Shopping Plaza, 537-551 George Street, CBD, Sydney",Sydney,-33.8761343944,151.2058719993,1,25,4.7,Excellent,1372,363,"Japanese, Asian",5.319148936170213
10,181,16580700,Spring Street Grocer,CBD,"157 Spring Street, CBD, Melbourne",Melbourne,-37.811047973499996,144.9726968631,1,25,4.6,Excellent,589,181,"Ice Cream, Cafe Food",5.434782608695652
11,140,16570683,A1 Bakery,Brunswick,"643-645 Sydney Road, Brunswick, Melbourne",Melbourne,-37.762039427800005,144.9628776312,2,30,4.7,Excellent,916,248,"Bakery, Middle Eastern",6.382978723404255
12,68,15544399,Jasmins Lebanese Restaurant,Lakemba,"30B Haldon Street, Lakemba, Sydney",Sydney,-33.918826817399996,151.0762636364,2,30,4.6,Excellent,156,59,Lebanese,6.521739130434783
