,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines
33,16587626,Mandoo,"Bank Street, City Centre","3/26 Bank Street, Adelaide, SA",Adelaide,-34.92251754,138.5974917,2,45,4.8,Excellent,764,290,"Korean, Dumplings"
98,16589254,127 Days,Croydon Park,"127 Days Road, Croydon Park, Adelaide",Adelaide,-34.8758456,138.5663751,2,50,4.7,Excellent,267,123,"American, Burger, Sandwich"
41,16587409,Indian Temptations,"Main North Road, Enfield","490 Main North Road, Blair Athol",Adelaide,-34.85263056,138.6004333,2,50,4.8,Excellent,403,156,Indian
79,16587463,Parwana Afghan Restaurant,"Henley Beach Road, Torrensville","124b Henley Beach Road, Torrensville, Adelaide",Adelaide,-34.92373611,138.5674583,3,80,4.7,Excellent,607,188,"Middle Eastern, Afghan"
99,16587476,Kefi Greek Cuisine,"Tapleys Hill Road, Glenelg North","3 61 Tapleys Hill Road, Glenelg North, Adelaide",Adelaide,-34.97032143,138.5169587,3,80,4.7,Excellent,259,92,Greek
86,16586909,Enzo's Ristorante,"Port Road, Hindmarsh","46 Port Road, Hindmarsh, Adelaide",Adelaide,-34.908092,138.575577,4,100,4.7,Excellent,425,136,Italian
18,16588873,Peel St,"Peel Street, City Centre","9 Peel Street, City Centre, Adelaide",Adelaide,-34.92338056,138.5979472,4,110,4.9,Excellent,391,156,"Asian, Middle Eastern, Modern Australian"
20,16588993,Orana,"Rundle Street, City Centre","285 Rundle Street, Adelaide",Adelaide,-34.922626,138.610128,4,350,4.9,Excellent,153,78,Australian
90,16590773,Just Poppy's,Riverhills Plaza,"Riverhills Plaza, Shop 4, 20 Bogong Street, Riverhills, Brisbane",Brisbane,-27.55917315,152.9115538,2,40,4.7,Excellent,368,137,Burger
36,16590678,Oishii Sushi Bar,Sunnybank Hills,"Shop 2, 70 Pinelands Road, Sunnybank Hills, Brisbane",Brisbane,-27.59106761,153.0605843,2,40,4.8,Excellent,720,192,"Japanese, Sushi"
45,16590663,Grill'd - Rosalie,Rosalie Village,"Rosalie Village, Shop 19, 21 Nash Street, Paddington, Brisbane",Brisbane,-27.46548744,152.9970586,2,40,4.8,Excellent,263,55,Burger
80,16591194,Hosokawa Japanese Restaurant,Hamilton,"Shop 3, 53 Racecourse Road, Hamilton, Brisbane",Brisbane,-27.43740052,153.0650935,3,60,4.7,Excellent,600,189,"Japanese, Sushi"
95,16590137,Zum Kaiser,Woolloongabba,"416 Vulture Street, Woolloongabba, Brisbane",Brisbane,-27.48447677,153.0368625,3,60,4.7,Excellent,296,83,German
83,16594075,Bird's Nest Yakitori,South Brisbane,"Shop 5, 220 Melbourne Street, South Brisbane, Brisbane",Brisbane,-27.4769737,153.013064,3,80,4.7,Excellent,490,188,"Asian, Japanese, Tapas"
12,16595540,Julius Pizzeria,South Brisbane,"77 Grey Street, South Brisbane, Brisbane",Brisbane,-27.47362222,153.017962,3,80,4.9,Excellent,493,180,"Pizza, Italian"
13,16593535,Rogue Bistro,Newstead,"14 Austin Street, Newstead, Brisbane",Brisbane,-27.44589441,153.0443734,4,140,4.9,Excellent,491,205,Modern Australian
75,16592896,Gerard's Bistro,Fortitude Valley,"Shop 14, 15 James Street, Fortitude Valley, Brisbane",Brisbane,-27.45659967,153.0390626,4,200,4.7,Excellent,637,276,Middle Eastern
92,16589882,85 Miskin St,Toowong,"85 Miskin Street, Toowong, Brisbane",Brisbane,-27.48551213,152.9835925,4,200,4.7,Excellent,308,138,"French, Modern Australian"
30,16571744,Lentil As Anything,Abbotsford,"1-3 St Heliers Street, Abbotsford, Melbourne",Melbourne,-37.80270483,145.0035664,1,25,4.8,Excellent,976,247,"Vegetarian, Vegan"
66,16570683,A1 Bakery,Brunswick,"643-645 Sydney Road, Brunswick, Melbourne",Melbourne,-37.76203943,144.9628776,2,30,4.7,Excellent,916,248,"Bakery, Middle Eastern"
8,16574138,Suzuran,Camberwell,"1025 Burke Road, Camberwell, Melbourne",Melbourne,-37.82176452,145.0584645,2,35,4.9,Excellent,805,194,"Japanese, Sushi"
62,16572845,Pho Hung Vuong Saigon,Footscray,"128 Hopkins Street, Footscray, Melbourne",Melbourne,-37.79981592,144.9006504,2,40,4.7,Excellent,1102,362,"Vietnamese, Pho"
97,16574463,Katik Take Away Food,Campbellfield,"349 Barry Road, Campbellfield, Melbourne, VIC",Melbourne,-37.66687402,144.9482334,2,40,4.7,Excellent,284,109,"Middle Eastern, Turkish"
7,16575846,Pho Hung Vuong Springvale,Springvale,"Shop 2, 15 Balmoral Avenue, Springvale, Melbourne",Melbourne,-37.94940921,145.1510185,2,40,4.9,Excellent,923,305,"Vietnamese, Pho"
27,16573311,The Proud Peacock,Mount Waverley,"28 Hamilton Place, Mount Waverley, Melbourne",Melbourne,-37.8759681,145.1287894,2,45,4.8,Excellent,1353,625,"Chinese, Thai, Vietnamese"
51,16585400,Hakata Gensuke Ramen Professionals,CBD,"168 Russell Street, CBD, Melbourne",Melbourne,-37.81233608,144.9680422,3,50,4.7,Excellent,2334,843,"Ramen, Japanese"
74,16573923,Aoba,Malvern,"279 Glenferrie Road, Malvern, Melbourne",Melbourne,-37.85698673,145.0291386,3,50,4.7,Excellent,637,194,Japanese
76,16570691,The Abyssinian,Flemington,"277 Racecourse Road, Flemington, Melbourne",Melbourne,-37.78853208,144.9318388,3,60,4.7,Excellent,632,201,"African, Ethiopian"
85,16573158,Fresh Chilli Thai Restaurant,Laverton,"Shop 11, 5 Aviation Road, Laverton, Melbourne",Melbourne,-37.86743855,144.7619232,3,60,4.7,Excellent,464,193,"Asian, Thai"
46,16571710,Laksa King,Flemington,"6-12 Pin Oak Crescent, Flemington, Melbourne",Melbourne,-37.78779575,144.9294969,3,70,4.7,Excellent,4967,1302,"Malaysian, Chinese"
72,16577899,Myong Tofu,Flemington,"314 Racecourse Road, Flemington, Melbourne",Melbourne,-37.78810762,144.9302398,3,70,4.7,Excellent,694,312,"Malaysian, Chinese"
49,16582069,Jinda Thai Restaurant,Abbotsford,"7 Ferguson Street, Abbotsford, Melbourne",Melbourne,-37.80930875,144.9923685,3,80,4.7,Excellent,3231,1031,Thai
53,16582573,Mr. Miyagi,Windsor,"99 Chapel Street, Windsor, Melbourne, VIC",Melbourne,-37.85425719,144.9928734,3,80,4.7,Excellent,2022,905,"Asian, Japanese"
77,16580906,Milk the Cow,St Kilda,"157 Fitzroy Street, St Kilda, Melbourne, VIC",Melbourne,-37.85888233,144.9794899,3,80,4.7,Excellent,631,256,Bar Food
