,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines,0,1,2,3,4,5,6,7
0,15547004,Restaurant Hubert,CBD,"15 Bligh Street, CBD, Sydney",Sydney,-33.865348331,151.2106238678,2000.0,4,150,4.9,Excellent,589,224,"French, European",French,European,,,,,,
1,16558798,Quay,Circular Quay,"Upper Level, Overseas Passenger Terminal 5 Hickson Road, Circular Quay, Sydney",Sydney,-33.8580292558,151.20997041459998,2000.0,4,500,4.9,Excellent,1366,454,Modern Australian,Modern Australian,,,,,,,
2,16559171,Tetsuya's,CBD,"529 Kent Street, CBD, Sydney",Sydney,-33.8751428662,151.2049315497,,4,440,4.9,Excellent,1234,329,Japanese,Japanese,,,,,,,
3,16569454,LuMi Bar & Dining,Pyrmont,"56 Pirrama Road, 	Pyrmont, Pyrmont, Sydney",Sydney,-33.8671367304,151.1975169182,2009.0,4,190,4.9,Excellent,452,196,"Italian, Japanese",Italian,Japanese,,,,,,
4,15545439,Manpuku,Chatswood,"226 Victoria Avenue, Chatswood, Sydney",Sydney,-33.794417475799996,151.1895420402,2067.0,2,40,4.9,Excellent,486,190,"Japanese, Ramen",Japanese,Ramen,,,,,,
5,16564814,Sixpenny,Stanmore,"83 Percival Rd, Stanmore, Sydney",Sydney,-33.8925519485,151.1647349596,2048.0,4,280,4.9,Excellent,230,107,Modern Australian,Modern Australian,,,,,,,
6,16559140,Tan Viet Noodle House,Cabramatta,"Shop 2-3, 100 John Street, Cabramatta, Sydney",Sydney,-33.895041095500005,150.934162885,2166.0,2,35,4.9,Excellent,463,182,"Asian, Vietnamese",Asian,Vietnamese,,,,,,
7,18241437,KOI Dessert Bar,"Kensington Street, Chippendale","46 Kensington Street, Chippendale, Sydney",Sydney,-33.8854879306,151.2018050998,2008.0,4,150,4.8,Excellent,996,436,"Desserts, Modern Australian",Desserts,Modern Australian,,,,,,
8,16564570,Sokyo,"The Star, Pyrmont","Level G, The Darling, The Star, 80 Pyrmont Street, Pyrmont",Sydney,-33.869338,151.19597,2009.0,4,120,4.8,Excellent,1401,566,Japanese,Japanese,,,,,,,
9,16562527,Bistro Papillon,CBD,"98 Clarence Street, CBD, Sydney",Sydney,-33.868035927,151.2053140998,2000.0,3,80,4.8,Excellent,505,155,French,French,,,,,,,
10,17744148,Ho Jiak Haymarket 好吃禧市,Haymarket,"92 Hay Street, Chinatown, Haymarket, Sydney",Sydney,-33.8793663848,151.2040541321,,3,70,4.8,Excellent,553,218,"Malaysian, Asian, Chinese, Asian Fusion, Singaporean",Malaysian,Asian,Chinese,Asian Fusion,Singaporean,,,
11,16564699,The Baxter Inn,CBD,"Basement, 152-156 Clarence Street, CBD, Sydney",Sydney,-33.8697479935,151.2056279182,2000.0,3,60,4.8,Excellent,701,142,Bar Food,Bar Food,,,,,,,
12,16567404,Ester,Chippendale,"46-52 Meagher Street, Chippendale, Sydney",Sydney,-33.887620195100006,151.2009685859,2008.0,4,150,4.8,Excellent,394,190,Modern Australian,Modern Australian,,,,,,,
13,15544520,Five Points Burgers,North Sydney,"124 Walker Street, North Sydney, Sydney",Sydney,-33.8372437721,151.2090309709,2060.0,2,40,4.8,Excellent,332,170,"Burger, American",Burger,American,,,,,,
14,17744990,The Dolar Shop Hot Pot Restaurant 豆捞坊 - 1909 Dining Precinct,"Market City, Chinatown","Shop 5&6, Level 3, 1909 Dining Precinct, Market City, 9 - 13 Hay Street, Chinatown, Haymarket, Sydney",Sydney,-33.8797716623,151.2029835954,2000.0,4,120,4.8,Excellent,277,110,"Chinese, Hot Pot, Asian, Seafood",Chinese,Hot Pot,Asian,Seafood,,,,
15,16562756,Mappen Noodle Restaurant,"SkyView Shopping Plaza, CBD","Shop 11, Skyview Shopping Plaza, 537-551 George Street, CBD, Sydney",Sydney,-33.8761343944,151.2058719993,2000.0,1,25,4.7,Excellent,1372,363,"Japanese, Asian",Japanese,Asian,,,,,,
16,16557237,Bar Luca,CBD,"52 Phillip Street, CBD, Sydney",Sydney,-33.8640203701,151.2119307742,2000.0,3,60,4.7,Excellent,624,305,"Burger, Modern Australian",Burger,Modern Australian,,,,,,
17,16570446,Belly Bao,Newtown,"184 King Street, Newtown, Sydney",Sydney,-33.894499523,151.18256561459998,2042.0,2,40,4.7,Excellent,419,199,"Taiwanese, Street Food",Taiwanese,Street Food,,,,,,
18,16558906,Ryo's Noodles,Crows Nest,"125 Falcon Street, Crows Nest, Sydney",Sydney,-33.828515,151.206632,2065.0,2,50,4.7,Excellent,818,256,"Japanese, Ramen",Japanese,Ramen,,,,,,
19,16559190,Thai Pothong,Newtown,"294 King Street, Newtown, Sydney",Sydney,-33.8967473326,151.1796621233,2042.0,4,100,4.7,Excellent,1031,289,Thai,Thai,,,,,,,
20,16558689,Pasticceria Papa,Haberfield,"145 Ramsay Street, Haberfield, Sydney",Sydney,-33.8809142787,151.1397293954,2045.0,1,20,4.7,Excellent,516,170,"Coffee and Tea, Italian, Cafe Food",Coffee and Tea,Italian,Cafe Food,,,,,
21,16558417,Malay Chinese Takeaway,CBD,"Shop 1, 50-58 Hunter Street, CBD, Sydney",Sydney,-33.8659722149,151.20964050290002,2000.0,2,35,4.7,Excellent,418,155,"Chinese, Malaysian",Chinese,Malaysian,,,,,,
22,16558782,Prime Steak Restaurant,"GPO Grand, CBD","Lower Ground Floor, GPO Grand, 1 Martin Place, CBD, Sydney",Sydney,-33.8679170555,151.2081260607,2000.0,4,200,4.7,Excellent,233,73,"French, Steak",French,Steak,,,,,,
23,16564943,Claire's Kitchen at Le Salon,Surry Hills,"35 Oxford Street, Surry Hills, Sydney",Sydney,-33.8779570839,151.2134767324,2010.0,4,120,4.7,Excellent,340,151,French,French,,,,,,,
24,16561357,Ormeggio At The Spit,"D'Albora Marinas, Mosman","D'Albora Marinas The Spit, Spit Road, Mosman, Sydney",Sydney,-33.8042245992,151.24583858,2088.0,4,300,4.7,Excellent,286,131,Italian,Italian,,,,,,,
25,16562375,Hugos Manly,"Manly Wharf, Manly","Shop 1, Manly Wharf, 21 East Esplanade, Manly, Sydney",Sydney,-33.799878399099995,151.2838900834,,4,130,4.7,Excellent,467,157,"Modern Australian, Tapas",Modern Australian,Tapas,,,,,,
26,16559994,Vina Vegan Restaurant,Newtown,"395 King Street, Newtown, Sydney",Sydney,-33.8997403312,151.1778915301,2042.0,2,45,4.7,Excellent,155,62,"Vietnamese, Vegetarian, Vegan",Vietnamese,Vegetarian,Vegan,,,,,
27,16566785,Suzuya,Surry Hills,"210 Devonshire Street, Surry Hills, Sydney",Sydney,-33.8878336691,151.2113839388,2010.0,3,65,4.7,Excellent,193,75,Japanese,Japanese,,,,,,,
28,16561314,Il Grappolo,Rozelle,"1, 41 Terry Street, Rozelle, Sydney",Sydney,-33.8611411018,151.16840556260001,2039.0,4,100,4.7,Excellent,142,55,"Italian, Pizza",Italian,Pizza,,,,,,
29,16558886,Rosso Pomodoro,Balmain,"20-24 Buchanan Street, Balmain, Sydney",Sydney,-33.8634181873,151.1801553145,2041.0,3,60,4.7,Excellent,307,98,"Italian, Pizza, Vegetarian",Italian,Pizza,Vegetarian,,,,,
30,16566567,Jasmin1,Auburn,"22 Civic Road, Auburn, Sydney",Sydney,-33.8509916166,151.0337492824,2144.0,2,40,4.7,Excellent,221,112,"Middle Eastern, Seafood, Arabian, BBQ, Falafel, Lebanese, Sandwich, Salad",Middle Eastern,Seafood,Arabian,BBQ,Falafel,Lebanese,Sandwich,Salad
31,16562670,Home Thai,CBD,"Shop 1-2, 299 Sussex Street, CBD, Sydney",Sydney,-33.8746117452,151.2042200938,2000.0,3,60,4.6,Excellent,1499,521,"Thai, Salad",Thai,Salad,,,,,,
32,16558450,Masuya Japanese Seafood Restaurant,CBD,"Basement Level, 12-14 O'Connell Street, CBD, Sydney",Sydney,-33.8652275069,151.2097836658,2000.0,3,80,4.6,Excellent,783,194,"Japanese, Hot Pot, Sushi",Japanese,Hot Pot,Sushi,,,,,
