,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
0,16588873,Peel St,"Peel Street, City Centre","9 Peel Street, City Centre, Adelaide",Adelaide,-34.9233805556,138.5979472222,5000,"Asian, Middle Eastern, Modern Australian",4,110,4.9,Excellent,391,156
1,16588993,Orana,"Rundle Street, City Centre","285 Rundle Street, Adelaide",Adelaide,-34.9226260000,138.6101280000,05000,Australian,4,350,4.9,Excellent,153,78
2,16587626,Mandoo,"Bank Street, City Centre","3/26 Bank Street, Adelaide, SA",Adelaide,-34.9225175430,138.5974917188,5000,"Korean, Dumplings",2,45,4.8,Excellent,764,290
3,16587409,Indian Temptations,"Main North Road, Enfield","490 Main North Road, Blair Athol",Adelaide,-34.8526305556,138.6004333333,5085,Indian,2,50,4.8,Excellent,403,156
4,16587463,Parwana Afghan Restaurant,"Henley Beach Road, Torrensville","124b Henley Beach Road, Torrensville, Adelaide",Adelaide,-34.9237361111,138.5674583333,5031,"Middle Eastern, Afghan",3,80,4.7,Excellent,607,188
5,16586909,Enzo's Ristorante,"Port Road, Hindmarsh","46 Port Road, Hindmarsh, Adelaide",Adelaide,-34.9080920000,138.5755770000,5007,Italian,4,100,4.7,Excellent,425,136
6,16589254,127 Days,Croydon Park,"127 Days Road, Croydon Park, Adelaide",Adelaide,-34.8758456000,138.5663751000,5008,"American, Burger, Sandwich",2,50,4.7,Excellent,267,123
7,16587476,Kefi Greek Cuisine,"Tapleys Hill Road, Glenelg North","3 61 Tapleys Hill Road, Glenelg North, Adelaide",Adelaide,-34.9703214255,138.5169587284,5045,Greek,3,80,4.7,Excellent,259,92
8,16588256,Chapati House 2,"South Road, Glandore","Shop 6a, 715-727 South Road, Glandore",Adelaide,-34.9633722222,138.5727833333,5035,Indian,3,60,4.7,Excellent,139,52
9,16587245,Wasai Japanese Kitchen,"Field Street, City Centre","15 Field Street, Adelaide",Adelaide,-34.9308757855,138.5961227864,5000,Japanese,3,70,4.6,Excellent,918,252
10,16586858,Chianti,"Hutt Street, City Centre","160 Hutt Street, Adelaide",Adelaide,-34.9307777778,138.6123972222,5000,Italian,3,80,4.6,Excellent,812,228
11,16589382,Bread & Bone Wood Grill,"Peel Street, City Centre","15 Peel Street, Adelaide",Adelaide,-34.9235027778,138.5981305556,5000,"American, Bar Food",3,75,4.6,Excellent,599,236
12,16588445,Ruby Red Flamingo,"Tynte Street, North Adelaide","142 Tynte Street, North Adelaide, Adelaide",Adelaide,-34.9061083333,138.5948194444,5006,Italian,3,80,4.6,Excellent,576,216
13,16586875,Concubine,"Gouger Street, City Centre","132 Gouger Street, Adelaide",Adelaide,-34.9302000000,138.5944833333,5000,Chinese,3,90,4.6,Excellent,421,112
14,16608070,d'Arry's Verandah Restaurant,McLaren Vale,"Osborn Rd, McLaren Vale",Adelaide,-35.1983720000,138.5452420000,5171,"Modern Australian, Australian",1,25000017,4.6,Excellent,208,93
15,16588187,Il Toro,"North East Road, Greenacres","Shop 1, 321 North East Road, Hampstead Gardens, Greenacres, Adelaide",Adelaide,-34.8716888889,138.6361833333,5086,Italian,2,55,4.6,Excellent,138,71
