,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
0,16593535,Rogue Bistro,Newstead,"14 Austin Street, Newstead, Brisbane",Brisbane,-27.4458944148,153.0443733931,4006,Modern Australian,4,140,4.9,Excellent,491,205
1,16595540,Julius Pizzeria,South Brisbane,"77 Grey Street, South Brisbane, Brisbane",Brisbane,-27.4736222160,153.0179620162,4101,"Pizza, Italian",3,80,4.9,Excellent,492,180
2,16590678,Oishii Sushi Bar,Sunnybank Hills,"Shop 2, 70 Pinelands Road, Sunnybank Hills, Brisbane",Brisbane,-27.5910676128,153.0605843291,4109,"Japanese, Sushi",2,40,4.8,Excellent,720,192
3,16590663,Grill'd - Rosalie,Rosalie Village,"Rosalie Village, Shop 19, 21 Nash Street, Paddington, Brisbane",Brisbane,-27.4654874434,152.9970585555,4064,Burger,2,40,4.8,Excellent,263,55
4,16594075,Bird's Nest Yakitori,South Brisbane,"Shop 5, 220 Melbourne Street, South Brisbane, Brisbane",Brisbane,-27.4769737009,153.0130639672,4101,"Asian, Japanese, Tapas",3,80,4.7,Excellent,490,188
5,16591194,Hosokawa Japanese Restaurant,Hamilton,"Shop 3, 53 Racecourse Road, Hamilton, Brisbane",Brisbane,-27.4374005220,153.0650934577,4007,"Japanese, Sushi",3,60,4.7,Excellent,600,189
6,16592896,Gerard's Bistro,Fortitude Valley,"Shop 14, 15 James Street, Fortitude Valley, Brisbane",Brisbane,-27.4565996683,153.0390626192,4006,Middle Eastern,4,200,4.7,Excellent,637,276
7,16589882,85 Miskin St,Toowong,"85 Miskin Street, Toowong, Brisbane",Brisbane,-27.4855121347,152.9835925251,4066,"French, Modern Australian",4,200,4.7,Excellent,308,138
8,16592889,Nonbei Sake Bar & BBQ,Fortitude Valley,"624 Ann Street, Fortitude Valley, Brisbane",Brisbane,-27.4594387767,153.0340284482,4006,"Japanese, BBQ",3,80,4.7,Excellent,217,72
9,16590137,Zum Kaiser,Woolloongabba,"416 Vulture Street, Woolloongabba, Brisbane",Brisbane,-27.4844767667,153.0368625373,4169,German,3,60,4.7,Excellent,296,83
