,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
0,16585905,Tipo 00,CBD,"361 Little Bourke Street, CBD, Melbourne",Melbourne,-37.8135277429,144.9619733915,3000,Italian,4,150,4.9,Excellent,1927,716
1,16586014,Minamishima,Richmond,"4 Lord Street, Richmond, Melbourne, VIC",Melbourne,-37.8198314176,145.0051938370,3121,"Japanese, Sushi",4,450,4.9,Excellent,747,290
2,16572612,Vue de monde,CBD,"Level 55, Rialto, 525 Collins Street, CBD, Melbourne",Melbourne,-37.8189544974,144.9579336494,3000,"Australian, Contemporary",4,600,4.9,Excellent,3225,986
3,17881527,Dexter,Preston,"456 High Street, Preston, Melbourne",Melbourne,-37.7361956460,145.0044562295,,"American, BBQ",4,110,4.9,Excellent,1473,682
4,16574138,Suzuran,Camberwell,"1025 Burke Road, Camberwell, Melbourne",Melbourne,-37.8217645249,145.0584645197,3124,"Japanese, Sushi",2,35,4.9,Excellent,803,194
5,16575773,Scopri Italian Food & Wine,Carlton,"191, Nicholson Street, Carlton, Melbourne",Melbourne,-37.7957182787,144.9751148745,3053,Italian,4,180,4.9,Excellent,458,193
6,16575846,Pho Hung Vuong Springvale,Springvale,"Shop 2, 15 Balmoral Avenue, Springvale, Melbourne",Melbourne,-37.9494092102,145.1510185003,3171,"Vietnamese, Pho",2,40,4.9,Excellent,923,305
7,16580129,Yeonga Korean BBQ Restaurant,North Melbourne,"1 Cobden Street, North Melbourne, Melbourne",Melbourne,-37.8056389159,144.9570951238,3051,"Korean BBQ, Korean, BBQ",4,100,4.8,Excellent,1564,520
8,16582887,Rice Paper Scissors,CBD,"15, Hardware Lane, CBD, Melbourne",Melbourne,-37.8143130000,144.9614020000,3000,"Asian Fusion, Tapas",3,80,4.8,Excellent,2565,990
9,16572320,Shira Nui,Glen Waverley,"247 Springvale Road, Glen Waverley, Melbourne",Melbourne,-37.8788198823,145.1657683030,3150,"Sushi, Japanese",4,150,4.8,Excellent,1634,420
10,16570775,Attica,Ripponlea,"74 Glen Eira Road, Ripponlea, Melbourne",Melbourne,-37.8769242618,144.9973121658,3185,"Australian, Contemporary",4,600,4.8,Excellent,1485,491
