,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
0,16596036,Ha-Lu,"Oxford Street, Leederville","4/401 Oxford Street, Mount Hawthorn, Perth",Perth,-31.9233773227,115.8411462978,6016,"Japanese, Tapas",3,60,4.9,Excellent,1066,240
1,16598837,Run Amuk,"Orient Street, South Fremantle","386A South Terrace, South Fremantle, Fremantle, Perth",Perth,-32.0722768677,115.7530652359,6162,Fast Food,2,50,4.9,Excellent,1038,340
2,16597513,Pacific Rim Mix Plate,Applecross,"Shop B, 755 Canning Highway, Applecross, Melville, Perth",Perth,-32.0219001116,115.8322872967,6153,"Hawaiian, Japanese",2,40,4.9,Excellent,732,211
3,16598976,Marumo,Nedlands,"22/145 Stirling Hwy, Nedlands, Nedlands & Dalkeith, Perth",Perth,-31.9802157847,115.7966588438,6907,"Japanese, Seafood, Modern Australian",1,0,4.9,Excellent,437,140
4,16598168,Nobu Perth,Burswood,"Crown Metropol Perth, Great Eastern Highway, Burswood",Perth,-31.9605255258,115.8940253779,6100,"Japanese, Sushi",4,410,4.8,Excellent,1822,659
5,16596002,Galileo Buona Cucina,Shenton Park,"199 Onslow Road, Shenton Park, Perth",Perth,-31.9609760000,115.8122330000,,Italian,3,90,4.8,Excellent,725,205
6,16595880,Chez Pierre,Nedlands,"131 Stirling Highway, Nedlands, Nedlands & Dalkeith, Perth",Perth,-31.9799580000,115.7980270000,6009,French,4,150,4.8,Excellent,489,236
7,16596244,Nine Fine Food,Perth CBD,"227 Bulwer Street, Perth CBD, Perth",Perth,-31.9403095293,115.8616879955,6003,"Japanese, Modern Australian",4,150,4.7,Excellent,962,291
8,16596238,Nao Japanese,"Hay Street, Perth CBD","Equus, 580 Hay Street, Perth",Perth,-31.9546343231,115.8609222248,6000,"Japanese, Ramen",2,50,4.7,Excellent,1107,343
9,16597030,Prego Restaurant,Floreat,"440 Cambridge Street, Floreat, Perth",Perth,-31.9407465436,115.8015542105,6014,"Italian, Mediterranean",4,120,4.7,Excellent,915,408
10,16598265,Petite Mort,Shenton Park,"225 Onslow Road, Shenton Park, Perth",Perth,-31.9610180000,115.8114700000,6008,"European, French, Modern Australian",4,250,4.7,Excellent,554,269
11,16597994,Shou Japanese Kitchen,Greenwood,"Shop 24, 18 Calectasia Street, Greenwood, Perth",Perth,-31.8310550000,115.8018110000,6024,Japanese,2,50,4.7,Excellent,411,157
12,16597908,Solo Pizza,"Coode Street, South Perth","Shop 5, 135A Coode Street, South Perth, Perth",Perth,-31.9881289245,115.8621295542,6151,"Coffee and Tea, Italian, Pizza",2,50,4.7,Excellent,307,141
13,16596860,The Bonsai Restaurant & Cafe Lounge,Northbridge,"30 Roe Street, Northbridge, Perth",Perth,-31.9494226690,115.8576690406,6003,Japanese,4,130,4.6,Excellent,1316,409
14,16596815,S & T Thai Gourmet Cafe,Perth CBD,"349 William Street, Perth CBD, Perth CBD, Perth",Perth,-31.9454374886,115.8615253866,6003,Thai,2,55,4.6,Excellent,981,297
15,16596306,The Prophet Lebanese Cafe,East Victoria Park,"907 Albany Highway, East Victoria Park, Perth",Perth,-31.9873750642,115.9047770128,6101,"Middle Eastern, Cafe Food",3,65,4.6,Excellent,1094,319
16,16598048,P'tite Ardoise Bistro,Perth CBD,"283 Beaufort Street, Perth, Perth CBD, Perth",Perth,-31.9443950771,115.8657894284,6003,French,4,120,4.6,Excellent,951,357
17,16597786,Koko Black Claremont,Claremont,"Claremont Quarter, 23 Saint Quentin Avenue, Claremont, Perth",Perth,-31.9826490000,115.7794490000,,"Desserts, Cafe Food",2,35,4.6,Excellent,1084,282
18,16595904,Clarkes of North Beach,North Beach,"97 Flora Terrace, North Beach, Perth",Perth,-31.8550443517,115.7541615888,6020,Modern Australian,4,120,4.6,Excellent,400,171
19,16597649,Sparrow Indonesian Restaurant,Perth CBD,"301 Lord Street, Perth CBD, Perth",Perth,-31.9433460000,115.8733990000,6003,"Indonesian, Malaysian",2,40,4.6,Excellent,394,151
20,16597311,Bollywood Spices Indian Cuisine,North Perth,"Shop 9, 299 Charles Street, North Perth, Perth",Perth,-31.9291646770,115.8522362262,6006,Indian,2,50,4.6,Excellent,378,175
21,16600545,Bossman Coffee,Mount Lawley,"3/669 Beaufort Street, Mount Lawley, Perth",Perth,-31.9337708524,115.8722994849,6050,Cafe Food,1,15,4.6,Excellent,297,105
22,16597802,Tak'E Sushi,Dianella,"Shop 50, Dianella Plaza, Corner Alexander Drive & Grand Promande, Dianella, Stirling, Perth",Perth,-31.8960180535,115.8710106835,6059,"Japanese, Sushi",2,30,4.6,Excellent,230,69
23,16595894,Ciao Italia,South Perth,"273 Mill Point Road, South Perth, Perth",Perth,-31.9777042880,115.8687559515,6151,"Italian, Seafood",3,65,4.5,Excellent,1794,504
24,16600511,Palsaik Namoo,Perth CBD,"68 Barrack Street, Perth CBD, Perth",Perth,-31.9543131550,115.8605121821,6000,"Korean, BBQ",3,70,4.5,Excellent,658,215
25,16596362,Sayers,"Carr Place, Leederville","Shop 1, 224 Carr Place, Leederville, Perth",Perth,-31.9372790000,115.8425980000,6007,"Modern Australian, Cafe Food",2,50,4.5,Excellent,2126,548
